SourceNode,TargetNode,Distance
301692,301928,34.16691795696871
301692,301777,63.918198103688816
301692,497504,80.05971204547818
301692,303629,87.95519847325963
301692,497434,91.17010584227894
301692,497505,92.77697338913302
301692,497502,95.342886620404
301692,303206,98.65739262174948
301692,304834,105.4969840873553
301692,304598,115.66836265249394
301777,301692,63.918198103688816
301777,301928,97.67893403233799
301777,497428,140.63934567856992
301777,497504,141.8967064982603
301777,303629,149.95730731067394
301777,497434,151.01439600081804
301777,497505,154.98533326855414
301777,497502,157.78307263933243
301777,303206,161.28915838604817
301777,304834,167.1578162758913
301928,301692,34.16691795696871
301928,497504,46.570851731950505
301928,303629,54.26497555706851
301928,497505,58.934850791297976
301928,497434,59.030901293493315
301928,497502,61.37740114082144
301928,303206,64.60638793476743
301928,304834,71.86675808884576
301928,304598,81.78607177574503
301928,301777,97.67893403233799
302469,303232,32.72426461610745
302469,497435,59.35679453290938
302469,302704,64.06801837223786
302469,497508,64.62684712580266
302469,305679,70.4617617305463
302469,305737,70.89451568589278
302469,308231,72.60667840243244
302469,308915,75.99628751671351
302469,497513,85.22935465118914
302469,309201,92.0060052232662
302704,304598,59.81524248388467
302704,302469,64.06801837223786
302704,304834,70.59310893648681
302704,303206,72.95652825553151
302704,497502,76.7688598470157
302704,497505,79.97391897153534
302704,303629,85.15384754659374
302704,497434,89.69406667821993
302704,497504,93.02275592635391
302704,303232,94.86850646479877
303206,497502,3.862032716521451
303206,497505,7.185110105818253
303206,304834,10.60830007822038
303206,303629,12.267081089618236
303206,304598,17.588685190053464
303206,497504,20.069068541780666
303206,497434,21.159961830963155
303206,301928,64.60638793476743
303206,302704,72.95652825553151
303206,301692,98.65739262174948
303232,497435,28.638747386628534
303232,302469,32.72426461610745
303232,497508,33.21808310687339
303232,305679,39.24087067064486
303232,305737,39.691800077369784
303232,308231,43.862790128887504
303232,308915,47.69044073959606
303232,497513,55.05759834230768
303232,309201,60.885992435500825
303232,497436,66.80153157180975
303629,497505,5.188587850789569
