OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
241822,493744,US,MA,25.0,17.0,25017.0,1,C,Ayer,0.0,-71.5885620425559,42.5590285720683
241874,493795,US,RI,44.0,9.0,44009.0,1,A,West Kingston,0.0,-71.5621150683646,41.4833442658041
241933,493854,US,MA,25.0,27.0,25027.0,1,C,Southborough,0.0,-71.5246372127774,42.2669849172054
241977,493893,US,MA,25.0,17.0,25017.0,1,C,Littleton/495,0.0,-71.5022875920392,42.5189169214204
241999,493914,US,MA,25.0,17.0,25017.0,1,C,Ashland,0.0,-71.4823289218713,42.2614913534881
242089,493998,US,MA,25.0,17.0,25017.0,1,C,South Acton,0.0,-71.4578565641504,42.4603670599211
242168,494053,US,MA,25.0,21.0,25021.0,1,C,Forge Park/495,0.0,-71.4392999997493,42.0899299997308
242276,494154,US,MA,25.0,17.0,25017.0,1,B,Framingham,0.0,-71.4179023623452,42.2766785299208
242388,494266,US,MA,25.0,21.0,25021.0,1,C,Franklin/Dean Coll.,0.0,-71.3958269676189,42.0833824772554
242399,494277,US,MA,25.0,17.0,25017.0,1,C,West Concord,0.0,-71.3927315923387,42.4570458101868
242404,494282,US,MA,25.0,17.0,25017.0,1,C,West Natick,0.0,-71.3917899638849,42.2831360622933
242509,494380,US,MA,25.0,17.0,25017.0,1,C,Concord,0.0,-71.3572403466292,42.4562918002023
242539,494398,US,MA,25.0,17.0,25017.0,1,C,Natick Center,0.0,-71.3464216311337,42.285822032455
242593,497489,US,MA,25.0,17.0,25017.0,1,C,Lincoln,0.0,-71.3256189434507,42.4136999162518
242605,497490,US,MA,25.0,21.0,25021.0,1,C,Norfolk,0.0,-71.3269389665567,42.1199298151604
242653,494429,US,MA,25.0,17.0,25017.0,1,C,Silver Hill,0.0,-71.3020657122841,42.395682563799
242679,494437,US,MA,25.0,21.0,25021.0,1,C,Wellesley Square,0.0,-71.29388914955,42.2975926550937
242688,494439,US,MA,25.0,17.0,25017.0,1,C,Hastings,0.0,-71.2889992224032,42.3856792800604
242709,497491,US,MA,25.0,17.0,25017.0,1,C,Kendal Green,0.0,-71.2825709303323,42.3791878290311
